,title,score,img_url,year,nation,category
196,魔女宅急便,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456676352.webp,1989,日本,动画 奇幻 冒险
197,奇迹男孩,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.webp,2017,美国 中国香港,剧情 儿童 家庭
198,色，戒,8.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.webp,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
199,2001太空漫游,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.webp,1968,英国 美国,科幻 惊悚 冒险
200,海边的曼彻斯特,8.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.webp,2016,美国,剧情 家庭
201,虎口脱险,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.webp,1966,法国 英国,喜剧 战争
202,人工智能,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.webp,2001,美国 英国,剧情 科幻
203,城市之光,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.webp,1931,美国,喜剧 剧情 爱情
204,可可西里,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.webp,2004,中国大陆 中国香港,剧情 犯罪
205,二十二,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.webp,2015,中国大陆,纪录片
206,房间,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.webp,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
207,罗生门,8.8,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.webp,1950,日本,剧情 犯罪 悬疑
208,终结者2：审判日,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.webp,1991,美国 法国,动作 科幻
209,初恋这件小事,8.4,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.webp,2010,泰国,剧情 喜剧 爱情
210,大佛普拉斯,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.webp,2017,中国台湾,剧情 喜剧
211,遗愿清单,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1481879628.webp,2007,美国,冒险 喜剧 剧情
212,波西米亚狂想曲,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.webp,2018,英国 美国,剧情 传记 同性 音乐
213,牯岭街少年杀人事件,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.webp,1991,中国台湾,剧情 犯罪
214,源代码,8.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.webp,2011,美国 加拿大,科幻 悬疑 惊悚
215,魂断蓝桥,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.webp,1940,美国,剧情 爱情 战争
216,新龙门客栈,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.webp,1992,中国香港 中国大陆,动作 爱情 武侠 古装
217,青蛇,8.6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.webp,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
218,疯狂的麦克斯4：狂暴之路,8.6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.webp,2015,澳大利亚 南非,动作 科幻 冒险
219,无耻混蛋,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.webp,2009,德国 美国,剧情 犯罪
220,血钻,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.webp,2006,美国 德国 英国,剧情 惊悚 冒险
221,步履不停,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.webp,2008,日本,剧情 家庭
222,燃情岁月,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.webp,1994,美国,剧情 爱情 战争 西部
223,东京教父,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.webp,2003,日本,剧情 喜剧 动画
224,海洋,9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.webp,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片
225,无间道2,8.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p958008320.webp,2003,中国香港,剧情 犯罪 惊悚
226,彗星来的那一夜,8.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.webp,2013,美国 英国,科幻 悬疑 惊悚
227,谍影重重2,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.webp,2004,美国 德国,动作 悬疑 惊悚
228,穿越时空的少女,8.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.webp,2006,日本,剧情 爱情 科幻 动画
229,战争之王,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.webp,2005,法国 德国 美国,剧情 犯罪
230,阿飞正传,8.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.webp,1990,中国香港,犯罪 剧情 爱情
231,地球上的星星,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.webp,2007,印度,剧情 儿童 家庭
232,完美陌生人,8.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.webp,2016,意大利,剧情 喜剧
233,谍影重重,8.6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.webp,2002,美国 德国 捷克,动作 悬疑 惊悚
234,千钧一发,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.webp,1997,美国,剧情 科幻 惊悚
235,香水,8.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2571500223.webp,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻
236,东京物语,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.webp,1953,日本,剧情 家庭
237,黑客帝国2：重装上阵,8.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p443461390.webp,2003,美国,动作 科幻
238,崖上的波妞,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.webp,2008,日本,动画 奇幻 冒险
239,我爱你,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.webp,2011,韩国,剧情 爱情
240,再次出发之纽约遇见你,8.6,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.webp,2013,美国,喜剧 爱情 音乐
241,朗读者,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.webp,2008,美国 德国,剧情 爱情
242,驴得水,8.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.webp,2016,中国大陆,剧情 喜剧
243,聚焦,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.webp,2015,美国,剧情 传记
244,浪潮,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.webp,2008,德国,剧情 惊悚
245,猜火车,8.5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.webp,1996,英国,剧情 犯罪
246,小萝莉的猴神大叔,8.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.webp,2015,印度,剧情 喜剧 动作
247,追随,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.webp,1998,英国,犯罪 悬疑 惊悚
248,黑鹰坠落,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.webp,2001,美国 英国,动作 历史 战争
249,茶馆,9.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2262122096.webp,1982,中国大陆,剧情 历史
