,title,score,img_url,year,nation,category
44,闻香识女人,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.webp,1992,美国,剧情
45,罗马假日,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.webp,1953,美国,喜剧 剧情 爱情
46,指环王2：双塔奇兵,9.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.webp,2002,美国 新西兰,剧情 动作 奇幻 冒险
47,猫鼠游戏,9.1,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.webp,2002,美国 加拿大,传记 犯罪 剧情
48,天堂电影院,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.webp,1988,意大利 法国,剧情 爱情
49,辩护人,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.webp,2013,韩国,剧情
50,指环王1：护戒使者,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.webp,2001,新西兰 美国,剧情 动作 奇幻 冒险
51,大闹天宫,9.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.webp,2004(中国大陆),中国大陆,动画 奇幻
52,钢琴家,9.2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.webp,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐
53,狮子王,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.webp,1994,美国,动画 冒险 歌舞
54,教父2,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.webp,1974,美国,剧情 犯罪
55,死亡诗社,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.webp,1989,美国,剧情
56,搏击俱乐部,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.webp,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚
57,黑客帝国,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.webp,1999,美国,动作 科幻
58,让子弹飞,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.webp,2010,中国大陆 中国香港,剧情 喜剧 动作 西部
59,绿皮书,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.webp,2018,美国 中国大陆,剧情 喜剧 传记 音乐
60,饮食男女,9.1,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.webp,1994,中国台湾 美国,剧情 家庭
61,美丽心灵,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.webp,2001,美国,传记 剧情
62,海蒂和爷爷,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.webp,2015,德国 瑞士,剧情 冒险 家庭
63,窃听风暴,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.webp,2006,德国,剧情 悬疑
64,两杆大烟枪,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.webp,1998,英国,剧情 喜剧 犯罪
65,本杰明·巴顿奇事,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.webp,2008,美国,剧情 爱情 奇幻
66,情书,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.webp,1995,日本,剧情 爱情
67,看不见的客人,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.webp,2016,西班牙,剧情 犯罪 悬疑 惊悚
68,飞越疯人院,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.webp,1975,美国,剧情
69,穿条纹睡衣的男孩,9.1,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.webp,2008,英国 美国,剧情 战争
70,西西里的美丽传说,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.webp,2000,意大利 美国,剧情 战争 情色
71,拯救大兵瑞恩,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.webp,1998,美国,剧情 战争
72,小鞋子,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.webp,1997,伊朗,剧情 儿童 家庭
73,音乐之声,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.webp,1965,美国,剧情 传记 爱情 歌舞
74,阿凡达,8.8,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.webp,2009,美国,动作 科幻 冒险
75,海豚湾,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.webp,2009,美国,纪录片
76,致命魔术,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.webp,2006,英国 美国,剧情 悬疑 惊悚
77,美国往事,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.webp,1984,美国 意大利,犯罪 剧情
78,沉默的羔羊,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.webp,1991,美国,剧情 犯罪 惊悚
79,禁闭岛,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.webp,2010,美国,剧情 悬疑 惊悚
80,蝴蝶效应,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.webp,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
81,低俗小说,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.webp,1994,美国,剧情 喜剧 犯罪
82,布达佩斯大饭店,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.webp,2014,美国 德国 英国,剧情 喜剧 冒险
83,心灵捕手,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.webp,1997,美国,剧情
84,七宗罪,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.webp,1995,美国,剧情 犯罪 悬疑 惊悚
